STATE,PUMA,metro,metro_pop_share,puma_pop_2020
34,00901,New York,1.0,131871.0
34,00902,New York,1.0,118048.0
34,00903,New York,1.0,118725.0
34,00904,New York,1.0,115411.0
34,00905,New York,1.0,114925.0
34,00906,New York,1.0,153990.0
34,00907,New York,1.0,110192.0
34,01001,New York,1.0,111214.0
34,01002,New York,1.0,113861.0
34,01003,New York,1.0,120286.0
34,01101,New York,1.0,103643.0
34,01102,New York,1.0,111349.0
34,01103,New York,1.0,114319.0
34,01104,New York,1.0,107026.0
34,01105,New York,1.0,100778.0
34,01106,New York,1.0,106500.0
34,01201,New York,1.0,124032.0
34,01202,New York,1.0,159890.0
34,01203,New York,1.0,135158.0
34,01204,New York,1.0,114367.0
34,01205,New York,1.0,103782.0
34,01401,New York,1.0,121470.0
34,01402,New York,1.0,105344.0
34,01403,New York,1.0,113124.0
34,01404,New York,1.0,108182.0
34,01405,New York,1.0,104059.0
34,01406,New York,1.0,156404.0
34,01407,New York,1.0,155145.0
34,01501,New York,1.0,132976.0
34,01502,New York,1.0,131809.0
34,01503,New York,1.0,118299.0
34,01504,New York,1.0,126201.0
34,01600,New York,1.0,144221.0
34,01901,New York,1.0,104578.0
34,01902,New York,1.0,102153.0
34,01903,New York,1.0,118360.0
34,01904,New York,1.0,112956.0
34,01905,New York,1.0,137298.0
36,02805,New York,0.7213986571827428,135387.0
36,03001,New York,1.0,106384.0
36,03002,New York,1.0,109337.0
36,03003,New York,1.0,122608.0
36,03102,New York,1.0,152473.0
36,03103,New York,1.0,139687.0
36,03110,New York,1.0,146109.0
36,03111,New York,1.0,113650.0
36,03112,New York,1.0,211569.0
36,03113,New York,1.0,121612.0
36,03114,New York,1.0,119357.0
36,03201,New York,1.0,118149.0
36,03202,New York,1.0,114990.0
36,03203,New York,1.0,106221.0
36,03204,New York,1.0,119490.0
36,03205,New York,1.0,118668.0
36,03206,New York,1.0,154180.0
36,03207,New York,1.0,114103.0
36,03208,New York,1.0,108486.0
36,03209,New York,1.0,105022.0
36,03210,New York,1.0,109227.0
36,03211,New York,1.0,115026.0
36,03212,New York,1.0,112212.0
36,03301,New York,1.0,101400.0
36,03302,New York,1.0,102727.0
36,03303,New York,1.0,116296.0
36,03304,New York,1.0,118528.0
36,03305,New York,1.0,161127.0
36,03306,New York,1.0,133185.0
36,03307,New York,1.0,125701.0
36,03308,New York,1.0,108795.0
36,03309,New York,1.0,102493.0
36,03310,New York,1.0,130712.0
36,03311,New York,1.0,106733.0
36,03312,New York,1.0,101006.0
36,03313,New York,1.0,117217.0
36,04103,New York,1.0,163141.0
36,04104,New York,1.0,129265.0
36,04107,New York,1.0,224344.0
36,04108,New York,1.0,231983.0
36,04109,New York,1.0,110458.0
36,04110,New York,1.0,130440.0
36,04111,New York,1.0,125771.0
36,04112,New York,1.0,188800.0
36,04121,New York,1.0,170835.0
36,04165,New York,1.0,219214.0
36,04204,New York,1.0,151523.0
36,04205,New York,1.0,135880.0
36,04207,New York,1.0,141945.0
36,04208,New York,1.0,101619.0
36,04209,New York,1.0,186667.0
36,04210,New York,1.0,132351.0
36,04211,New York,1.0,121824.0
36,04212,New York,1.0,160741.0
36,04221,New York,1.0,159561.0
36,04263,New York,1.0,180543.0
36,04301,New York,1.0,204125.0
36,04302,New York,1.0,127650.0
36,04303,New York,1.0,173842.0
36,04304,New York,1.0,120747.0
36,04305,New York,1.0,201682.0
36,04306,New York,1.0,116586.0
36,04307,New York,1.0,133706.0
36,04308,New York,1.0,108805.0
36,04309,New York,1.0,100103.0
36,04310,New York,1.0,134319.0
36,04311,New York,1.0,198527.0
36,04312,New York,1.0,210432.0
36,04313,New York,1.0,113451.0
36,04314,New York,1.0,162410.0
36,04315,New York,1.0,163346.0
36,04316,New York,1.0,102095.0
36,04317,New York,1.0,160243.0
36,04318,New York,1.0,204005.0
36,04401,New York,1.0,193031.0
36,04402,New York,1.0,137718.0
36,04403,New York,1.0,178855.0
36,04404,New York,1.0,181730.0
36,04405,New York,1.0,179294.0
36,04406,New York,1.0,119706.0
36,04407,New York,1.0,270930.0
36,04408,New York,1.0,157986.0
36,04409,New York,1.0,151876.0
36,04410,New York,1.0,130378.0
36,04411,New York,1.0,122366.0
36,04412,New York,1.0,257759.0
36,04413,New York,1.0,199648.0
36,04414,New York,1.0,124187.0
36,04501,New York,1.0,189663.0
36,04502,New York,1.0,141591.0
36,04503,New York,1.0,164493.0
04,00101,Phoenix,1.0,185881.0
04,00102,Phoenix,1.0,144062.0
04,00103,Phoenix,1.0,120951.0
04,00104,Phoenix,1.0,106653.0
04,00105,Phoenix,1.0,165935.0
04,00106,Phoenix,1.0,122710.0
04,00107,Phoenix,1.0,128103.0
04,00108,Phoenix,1.0,107998.0
04,00109,Phoenix,1.0,108516.0
04,00110,Phoenix,1.0,128498.0
04,00111,Phoenix,1.0,111602.0
04,00112,Phoenix,1.0,130727.0
04,00113,Phoenix,1.0,104693.0
04,00114,Phoenix,1.0,111355.0
04,00115,Phoenix,1.0,109655.0
04,00116,Phoenix,1.0,110648.0
04,00117,Phoenix,1.0,109946.0
04,00118,Phoenix,1.0,116146.0
04,00119,Phoenix,1.0,117231.0
04,00120,Phoenix,1.0,108700.0
04,00121,Phoenix,1.0,166779.0
04,00122,Phoenix,1.0,102202.0
04,00123,Phoenix,1.0,115847.0
04,00124,Phoenix,1.0,114445.0
04,00125,Phoenix,1.0,114546.0
04,00126,Phoenix,1.0,129933.0
04,00127,Phoenix,1.0,121259.0
04,00128,Phoenix,1.0,110257.0
04,00129,Phoenix,1.0,140573.0
04,00130,Phoenix,1.0,126627.0
04,00131,Phoenix,1.0,123399.0
04,00132,Phoenix,1.0,146751.0
04,00133,Phoenix,1.0,122883.0
04,00134,Phoenix,1.0,168686.0
04,00135,Phoenix,1.0,166371.0
04,00803,Phoenix,1.0,147577.0
04,00805,Phoenix,1.0,122686.0
04,00807,Phoenix,1.0,144191.0
06,00101,San Francisco,1.0,144592.0
06,00111,San Francisco,1.0,106433.0
06,00112,San Francisco,1.0,106896.0
